0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:00:31 +0100] "GET /TweetBook/html_css/index.jsp HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:50:59 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7286
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:51:53 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:51:53 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7269
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:51:53 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:52:13 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:52:13 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7270
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:52:35 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:52:35 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7270
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:52:44 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:52:44 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7254
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:13 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:13 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7255
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:22 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:22 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7255
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:28 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:28 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7255
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:35 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:35 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7255
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:45 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:45 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7270
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:46 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:53:46 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:54:49 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:54:49 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:07 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:07 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:16 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:16 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:43 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:43 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:43 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:56 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:55:56 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:56:00 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:56:02 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:56:06 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:56:06 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:56:10 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:56:10 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:56:10 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:56:10 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:58:59 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:58:59 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:59:53 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:59:53 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:08:59:53 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:00:05 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:00:05 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:00:21 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:00:21 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:00:21 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:00:22 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:02:41 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:02:41 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:02:41 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:03:57 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:03:57 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:03:57 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:05:15 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:05:15 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:05:15 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7288
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:06:06 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:06:06 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7336
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:06:06 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:06:18 +0100] "GET /TweetBook/jsp/accueil.jsp? HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:06:18 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:06:23 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:06:23 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:08:08 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:08:08 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:08:08 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7400
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:42:36 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:42:36 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:42:36 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7400
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:44:12 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:44:12 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7400
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:46:19 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:46:44 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:46:44 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:46:55 +0100] "GET /TweetBook/servlet/inscrp_user?email=test&login=test&name=test&firstname=test&mdp=test&mdp2=test HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:51:15 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:51:15 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:51:26 +0100] "GET /TweetBook/servlet/inscrp_user?email=test&login=test&name=test&firstname=test&mdp=test&mdp2=test HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:54:47 +0100] "GET /TweetBook/jsp/accueil.jsp HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:54:47 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:54:57 +0100] "GET /TweetBook/servlet/inscrp_user?email=test&login=test&name=test&firstname=test&password=test&password2=test HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:56:06 +0100] "GET /TweetBook/servlet/inscrp_user?email=test&login=test&name=test&firstname=test&password=test&password2=test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:56:06 +0100] "GET /TweetBook/jsp/accueil.jsp?error=0 HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:56:06 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:56:50 +0100] "GET /TweetBook/servlet/inscrp_user?email=test&login=test&name=test&firstname=test&password=test&password2=test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:09:56:50 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:10:44 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:10:44 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:10:44 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:14:30 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:15:14 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:15:17 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:16:20 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:16:20 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:16:20 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:16:34 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:16:34 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7445
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:16:34 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:19:29 +0100] "GET /TweetBook/jsp/accueil.jsp?error=2 HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:19:29 +0100] "GET /TweetBook/css/accueil.css HTTP/1.1" 200 7445
0:0:0:0:0:0:0:1 - - [07/Feb/2018:10:19:29 +0100] "GET /TweetBook/js/accueil.js HTTP/1.1" 304 -
